SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 12-Jun-2019, 37.15, 37.10, 37.40, 36.40, 36.75, 36.70, 36.69, 31915, 11.71, 466, 16120, 50.51
21STCENMGM, EQ, 12-Jun-2019, 17.50, 17.50, 17.85, 17.15, 17.85, 17.85, 17.49, 40, 0.01, 7, 39, 97.50
3IINFOTECH, EQ, 12-Jun-2019, 3.60, 3.65, 3.70, 3.50, 3.55, 3.50, 3.60, 1208018, 43.54, 613, 615533, 50.95
3MINDIA, EQ, 12-Jun-2019, 22490.10, 22505.35, 22590.00, 22360.00, 22580.00, 22439.25, 22431.03, 1035, 232.16, 314, 698, 67.44
3PLAND, BE, 12-Jun-2019, 9.50, 9.05, 9.90, 9.05, 9.90, 9.90, 9.19, 155, 0.01, 2, -, -
5PAISA, EQ, 12-Jun-2019, 213.45, 216.00, 216.00, 209.00, 209.15, 210.15, 211.09, 3332, 7.03, 244, 1338, 40.16
63MOONS, EQ, 12-Jun-2019, 116.55, 118.40, 121.90, 110.80, 118.45, 118.45, 116.95, 383385, 448.38, 5942, 103610, 27.03
8KMILES, EQ, 12-Jun-2019, 89.25, 90.00, 94.85, 87.00, 90.60, 90.40, 90.88, 134753, 122.47, 2053, 38419, 28.51
A2ZINFRA, EQ, 12-Jun-2019, 15.10, 15.15, 15.40, 14.55, 14.60, 14.85, 14.99, 154354, 23.14, 502, 113336, 73.43
AARON, SM, 12-Jun-2019, 47.15, 47.50, 47.50, 47.50, 47.50, 47.50, 47.50, 3000, 1.43, 1, 3000, 100.00
AARTIDRUGS, EQ, 12-Jun-2019, 550.35, 554.80, 608.35, 550.00, 559.20, 560.25, 563.47, 8210, 46.26, 957, 4482, 54.59
AARTIIND, EQ, 12-Jun-2019, 1726.90, 1727.80, 1750.00, 1721.00, 1740.00, 1736.00, 1737.80, 60083, 1044.12, 6741, 34462, 57.36
AARVEEDEN, EQ, 12-Jun-2019, 22.45, 22.85, 22.90, 22.20, 22.90, 22.90, 22.61, 4730, 1.07, 42, 4288, 90.66
AARVI, SM, 12-Jun-2019, 35.00, 33.60, 33.60, 33.25, 33.25, 33.25, 33.31, 20000, 6.66, 9, 16000, 80.00
AAVAS, EQ, 12-Jun-2019, 1414.70, 1427.00, 1463.60, 1402.25, 1450.00, 1450.10, 1449.99, 336017, 4872.21, 7900, 320309, 95.33
